t,utility,load,water_flow
0,0,2474,484.7
1,0,2253,447.4
2,0,2148,421.1
3,0,2143,417
4,0,2064,390.3
5,0,2054,387.8
6,0,2414,474.3
7,0,2292,447.5
8,0,2241,445.9
9,0,2212,424.9
10,0,2469,476.3
11,0,2440,507.3
12,0,2232,447.6
13,0,2380,504.8
14,0,2332,588.1
15,0,3591,672.7
16,0,3973,736.6
17,0,4058,730.4
18,0,3895,716.3
19,0,4347,776.3
20,0,3866,651.2
21,0,3986,691.6
22,0,3834,663.6
23,0,4581,784.8
24,0,5224,1060
25,0,5700,998.3
26,0,5650,971.3
27,0,4830,832.6
28,0,5550,932.3
29,0,5537,922.9
30,0,6441,1067
31,0,6399,1008.2
32,0,7299,1258.6
33,0,4001,951.3
34,0,5882,1006.7
35,0,6666,1148.8
36,0,6130,1077.8
37,0,5820,1002.9
38,0,5743,1024.4
39,0,5726,1040.4
40,0,6735,1193.4
41,0,5493,1015.2
42,0,5922,942.6
43,0,7543,1174.7
44,0,8272,1280.7
45,0,6558,1013.9
46,0,5194,815.9
47,0,6934,1080.3
48,0,5330,975.6
49,0,5948,989
50,0,4917,841.8
51,0,6618,1102.8
52,0,5149,881.6
53,0,5331,927.6
54,0,5271,894.9
55,0,5154,859.1
56,0,5566,963.6
57,0,6066,1022.5
58,0,5906,982.4
59,0,6444,1111.6
60,0,6538,1073.8
61,0,5095,862.8
62,0,6387,1077
63,0,5697,951.1
64,0,4747,803.6
65,0,6037,1040.3
66,0,4962,888.1
67,0,4800,819.4
68,0,4834,809.9
69,0,5171,898.3
70,0,3629,631
71,0,4014,701
72,0,3707,631.5
73,0,2632,540.6
74,0,2656,584.7
75,0,2858,666.7
76,0,3191,772.6
77,0,2635,642.9
78,0,3139,653.8
79,0,4063,702.3
80,0,5221,896.3
81,0,4153,692
82,0,3517,578.3
83,0,3275,556.7
84,0,3157,658.6
85,0,2393,546.8
86,0,2113,441.9
87,0,2688,543.8
88,0,2329,447.1
89,0,2222,440
90,0,2371,454.9
91,0,2526,483.2
92,0,2311,452.5
93,0,2426,483.3
94,0,2278,453.5
95,0,2156,461.8
96,0,2474,470
97,0,2247,441.3
98,0,2485,496.4
99,0,2414,483.3
100,0,2358,462
101,0,2431,452
102,0,2989,615.4
103,0,2680,620.8
104,0,2691,634.3
105,0,2307,534.4
106,0,2978,733.4
107,0,2680,694.5
108,0,2460,607.6
109,0,4619,812.7
110,0,4428,769.5
111,0,3930,676.1
112,0,5572,925.5
113,0,4291,745.7
114,0,4157,716.2
115,0,4272,734.5
116,0,6081,1036.3
117,0,4937,847.1
118,0,5143,901.1
119,0,6727,1120.3
120,0,4752,943.8
121,0,5521,894.5
122,0,5818,915.2
123,0,6712,1060
124,0,5696,910.9
125,0,8173,1259.4
126,0,6155,937.1
127,0,5694,850.6
128,0,5598,847
129,0,6814,1016.5
130,0,6874,1033.6
131,0,5559,865
132,0,6653,1038.4
133,0,8226,1210.5
134,0,6227,932.5
135,0,6667,1005.3
136,0,6609,991.3
137,0,5892,891.9
138,0,6175,950.3
139,0,5842,886.9
140,0,6045,908.9
141,0,6086,920.3
142,0,6106,946.2
143,0,4352,658.2
144,0,4827,739
145,0,5429,847.8
146,0,5000,772.9
147,0,6341,982.7
148,0,5039,800.2
149,0,6374,1002.5
150,0,4017,645.2
151,0,4557,747.6
152,0,4822,788.1
153,0,3801,607.5
154,0,3946,632.1
155,0,4607,782.9
156,0,4614,770.9
157,0,3925,653.2
158,0,3304,536.5
159,0,3515,572.7
160,0,3306,537.4
161,0,3475,540.7
162,0,2610,470.9
163,0,3211,510.9
164,0,4191,694.8
165,0,3136,514.9
166,0,2597,454
167,0,2574,450.1
168,0,3068,545.2
169,0,2616,468.8
170,0,2553,447
171,0,2693,454.9
172,0,2686,458.4
173,0,3261,586.4
174,0,2506,442.9
175,0,2542,420.5
176,0,2731,441.5
177,0,2959,502.3
178,0,2976,522.2
179,0,2651,452.1
180,0,2557,414.4
181,0,2702,447.7
182,0,2641,442.2
183,0,2322,389.9
184,0,2242,374.4
185,0,2392,421.4
186,0,2302,380.6
187,0,2061,379.5
188,0,2114,381.5
189,0,2114,389.4
190,0,2458,427.5
191,0,2251,399.1
192,0,1920,359.3
193,0,1926,377
194,0,2175,400.8
195,0,2258,408.7
196,0,2215,398.7
197,0,2154,384.2
198,0,2475,437.6
199,0,2517,447.6
200,0,2844,532.3
201,0,2286,487.5
202,0,2270,469.3
203,0,2149,432.8
204,0,2291,461.2
205,0,2352,481.6
206,0,2428,537.6
207,0,2219,480.3
208,0,2630,596.7
209,0,2385,629
210,0,2532,755.4
211,0,5302,934.4
212,0,4413,783.4
213,0,4575,818.6
214,0,4275,755.1
215,0,4219,748
216,0,4506,815.8
217,0,3865,706
218,0,3499,627.4
219,0,3666,685.2
220,0,4170,750.9
221,0,4212,749.1
222,0,3790,714.6
223,0,4110,698.4
224,0,4259,729.2
225,0,4743,830.9
226,0,5439,962.1
227,0,4948,863.3
228,0,4424,751.9
229,0,4660,794.1
230,0,4163,722.7
231,0,3969,716.7
232,0,4705,803.7
233,0,4701,795.4
234,0,4653,759.9
235,0,3803,639.2
236,0,4397,779.6
237,0,4894,860.5
238,0,4435,730.4
239,0,5027,849.2
240,0,4873,856.6
241,0,4659,786.3
242,0,4312,729.4
243,0,5855,1004.7
244,0,5495,922.2
245,0,4011,671.4
246,0,4789,795.4
247,0,4504,749.9
248,0,4349,708.9
249,0,3667,612
250,0,4741,790.8
251,0,3673,623.4
252,0,4528,783
253,0,4245,698.3
254,0,3626,604.3
255,0,2450,510.4
256,0,2133,448.5
257,0,2469,588.8
258,0,3599,872.2
259,0,5056,845
260,0,3762,637.4
261,0,4176,712.1
262,0,3510,595
263,0,2435,477.6
264,0,2684,536.4
265,0,2298,439.8
266,0,2257,456.2
267,0,2175,439.3
268,0,2280,450.5
269,0,2546,459.8
270,0,2245,427.7
271,0,2489,476.8
272,0,2287,419
273,0,2472,445.7
274,0,2171,385
275,0,2286,426.8
276,0,1959,357
277,0,1721,332.7
278,0,1948,351.2
279,0,2093,400.5
280,0,2322,430.4
281,0,2175,417.8
282,0,2084,378.1
283,0,2110,398.8
284,0,2028,375.4
285,0,2250,419.9
286,0,2048,377.1
287,0,2048,378.1
288,0,2075,391.3
289,0,1938,376.7
290,0,1920,356.5
291,0,2058,396.1
292,0,2034,381.5
293,0,2308,441.9
294,0,2454,482.5
295,0,2390,453.6
296,0,2374,448.2
297,0,2305,437.2
298,0,3370,654.5
299,0,2677,578.5
300,0,2350,510.7
301,0,2494,529.5
302,0,2452,532.9
303,0,2664,643.1
304,0,2126,513.3
305,0,2876,764
306,0,2453,669.6
307,0,5174,942.4
308,0,3870,716.4
309,0,4203,749.8
310,0,4127,760.3
311,0,2648,502.9
312,0,2426,770.8
313,0,3971,811.3
314,0,4722,889
315,0,5677,996.3
316,0,5169,951.8
317,0,4543,790.4
318,0,4219,727.7
319,0,4869,836.1
320,0,5255,915.7
321,0,7270,1173
322,0,4848,791.9
323,0,5547,915.7
324,0,5618,943.5
325,0,4338,709.6
326,0,4851,807.2
327,0,5497,929.9
328,0,3347,565.3
329,0,5413,897.8
330,0,4950,828.1
331,0,5022,843.7
332,0,5068,813.7
333,0,6266,1042.1
334,0,5589,942
335,0,6048,1030.3
336,0,6218,1032.3
337,0,6986,1144
338,0,5599,933.9
339,0,7020,1153.7
340,0,4714,775.1
341,0,4665,769.8
342,0,5559,883.7
343,0,5660,872.5
344,0,5495,852.5
345,0,6176,976.3
346,0,4868,752.7
347,0,4589,719.2
348,0,6441,1000.4
349,0,4133,644.3
350,0,4574,722.6
351,0,4194,687.5
352,0,4016,659.9
353,0,4237,685.7
354,0,4320,692.7
355,0,4089,644.3
356,0,4415,704.9
357,0,3506,579.7
358,0,2603,482.7
359,0,3688,664.1
360,0,2681,484.5
361,0,2518,449
362,0,2589,461.3
363,0,2995,534.9
364,0,2711,449.3
365,0,3078,520.5
366,0,2540,411.1
367,0,2614,429.9
368,0,2571,424
369,0,2540,428.3
370,0,2122,388.2
371,0,1943,355.5
372,0,2197,400.2
373,0,1955,398.5
374,0,2150,394
375,0,1989,370.9
376,0,2228,424.5
